[1] "Output of IndicSpecies grouped according to Structure where Leaf = 1, Rhizome = 2, Root = 3, and Sediment = 4"
[1] Output of IndicSpecies grouped according to Structure where Leaf = 1, Rhizome = 2, Root = 3, and Sediment = 4

 Multilevel pattern analysis
 ---------------------------

 Association function: IndVal.g
 Group 1+3+4  #sps.  1 
                   stat p.value  
Epulopiscium__620 0.401   0.029 *

 Group 2+3+4  #sps.  9 
                          stat p.value    
Vibrio__3                0.715   0.001 ***
Photobacterium__11       0.710   0.002 ** 
Methyloceanibacter__45   0.675   0.001 ***
Epulopiscium__157        0.549   0.001 ***
Pelagibius__133          0.518   0.001 ***
Rhodopirellula__342      0.479   0.001 ***
Photobacterium__61       0.452   0.050 *  
Sediminispirochaeta__605 0.429   0.006 ** 
Vibrio__443              0.374   0.013 *  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1 
